year,country_name,hdi_category,indicator_name,reference,values
,Estonia,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,-0.2
,Latvia,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,-0.2
,Uruguay,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,0.5
,Croatia,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,0.2
,Costa Rica,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,2.5
,Bahamas,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,1.8
,Seychelles,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,1.1
,Cuba,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,0.6
,Mexico,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,1.8
,Bulgaria,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,-0.4
,Saint Kitts and Nevis,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,0.3
,Tonga,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,0.2
,Libyan Arab Jamahiriya,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,2.9
,Antigua and Barbuda,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,0.3
,Oman,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,3.4
,Trinidad and Tobago,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,0.9
,Romania,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,0.1
,Saudi Arabia,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,3.9
,Panama,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,2.1
,Malaysia,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,2.5
,Belarus,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,0.1
,Mauritius,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,1.1
,Bosnia and Herzegovina,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,0.1
,Russian Federation,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,0.2
,Albania,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,0.9
,Macedonia (TFYR),HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,0.6
,Brazil,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,1.8
,Dominica,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,(.)
,Saint Lucia,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,1.3
,Kazakhstan,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,0.2
,Venezuela (Bolivarian Republic of),MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,2.5
,Colombia,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,1.9
,Ukraine,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,-0.1
,Samoa,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,0.7
,Thailand,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,1.3
,Dominican Republic,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,2.0
,Belize,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,2.4
,China,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,d,1.2
,Grenada,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,0.4
,Armenia,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,0.2
,Turkey,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,1.9
,Suriname,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,0.7
,Jordan,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,3.5
,Peru,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,2.0
,Lebanon,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,1.3
,Ecuador,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,2.1
,Philippines,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,2.3
,Tunisia,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,1.9
,Fiji,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,1.2
,Saint Vincent and the Grenadines,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,0.7
,Iran (Islamic Republic of),MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,2.4
,Paraguay,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,2.5
,Georgia,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,-0.3
,Guyana,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,(.)
,Azerbaijan,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,1.3
,Sri Lanka,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,1.1
,Maldives,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,2.6
,Jamaica,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,1.0
,Cape Verde,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,2.0
,El Salvador,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,1.6
,Algeria,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,2.4
,Viet Nam,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,1.9
,Occupied Palestinian Territories,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,3.7
,Indonesia,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,1.7
,Syrian Arab Republic,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,3.1
,Turkmenistan,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,2.2
,Nicaragua,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,2.2
,Moldova,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,(.)
,Egypt,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,2.1
,Uzbekistan,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,2.1
,Mongolia,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,1.9
,Honduras,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,2.6
,Kyrgyzstan,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,1.5
,Bolivia,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,2.2
,Guatemala,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,2.4
,Gabon,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,2.6
,Vanuatu,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,2.5
,South Africa,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,2.1
,Tajikistan,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,2.1
,Sao Tome and Principe,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,2.1
,Botswana,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,2.7
,Namibia,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,2.7
,Morocco,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,1.9
,Equatorial Guinea,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,2.6
,India,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,2.0
,Solomon Islands,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,3.0
,Lao People's Democratic Republic,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,2.2
,Cambodia,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,2.3
,Myanmar,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,1.6
,Bhutan,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,1.9
,Comoros,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,3.1
,Ghana,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,2.6
,Pakistan,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,2.8
,Mauritania,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,2.7
,Lesotho,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,1.8
,Congo,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,2.8
,Bangladesh,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,2.2
,Swaziland,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,2.5
,Nepal,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,2.3
,Madagascar,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,2.9
,Cameroon,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,2.7
,Papua New Guinea,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,2.5
,Haiti,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,2.0
,Sudan,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,2.6
,Kenya,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,3.2
,Djibouti,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,4.3
,Timor-Leste,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,1.5
,Zimbabwe,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,2.5
,Togo,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,3.1
,Yemen,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,3.6
,Uganda,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,3.3
,Gambia,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 1975-2005,,3.5
,Senegal,,Annual population growth rate  (%) 1975-2005,,2.8
,Eritrea,,Annual population growth rate  (%) 1975-2005,,2.5
,Nigeria,,Annual population growth rate  (%) 1975-2005,,2.8
,Tanzania (United Republic of),,Annual population growth rate  (%) 1975-2005,,2.9
,Guinea,,Annual population growth rate  (%) 1975-2005,,2.7
,Rwanda,,Annual population growth rate  (%) 1975-2005,,2.5
,Angola,,Annual population growth rate  (%) 1975-2005,,2.9
,Benin,,Annual population growth rate  (%) 1975-2005,,3.2
,Malawi,,Annual population growth rate  (%) 1975-2005,,3.1
,Zambia,,Annual population growth rate  (%) 1975-2005,,2.7
,Iceland,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,0.8
,Norway,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,0.6
,Australia,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,1.0
,Canada,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,0.9
,Ireland,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,1.5
,Sweden,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,0.4
,Switzerland,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,0.4
,Japan,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,-0.1
,Netherlands,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,0.2
,France,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,0.4
,Finland,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,0.3
,United States,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,0.9
,Spain,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,0.6
,Denmark,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,0.2
,Austria,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,0.3
,United Kingdom,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,0.4
,Belgium,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,0.2
,Luxembourg,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,1.1
,New Zealand,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,0.8
,Italy,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,0.1
,"Hong Kong, China (SAR)",HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,0.9
,Germany,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,-0.1
,Israel,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,1.5
,Greece,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,0.2
,Singapore,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,1.1
,Korea (Republic of),HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,0.3
,Slovenia,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,(.)
,Cyprus,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,1.0
,Portugal,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,0.3
,Brunei Darussalam,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,1.9
,Barbados,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,0.3
,Czech Republic,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,-0.1
,Kuwait,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,2.2
,Malta,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,0.4
,Qatar,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,1.9
,Hungary,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,-0.3
,Poland,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,-0.2
,Argentina,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,1.0
,United Arab Emirates,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,2.5
,Chile,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,1.0
,Bahrain,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,1.7
,Slovakia,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,(.)
,Lithuania,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,-0.5
,Estonia,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,-0.3
,Latvia,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,-0.5
,Uruguay,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,0.3
,Croatia,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,-0.2
,Costa Rica,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,1.4
,Bahamas,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,1.2
,Seychelles,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,0.4
,Cuba,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,(.)
,Mexico,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,1.0
,Bulgaria,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,-0.8
,Saint Kitts and Nevis,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,1.2
,Tonga,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,0.4
,Libyan Arab Jamahiriya,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,1.9
,Antigua and Barbuda,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,1.1
,Oman,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,2.0
,Trinidad and Tobago,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,0.4
,Romania,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,-0.5
,Saudi Arabia,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,2.1
,Panama,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,1.6
,Malaysia,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,1.6
,Belarus,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,-0.6
,Mauritius,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,0.7
,Bosnia and Herzegovina,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,(.)
,Russian Federation,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,-0.5
,Albania,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,0.6
,Macedonia (TFYR),HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,(.)
,Brazil,HIGH HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,1.2
,Dominica,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,-0.1
,Saint Lucia,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,1.1
,Kazakhstan,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,0.7
,Venezuela (Bolivarian Republic of),MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,1.6
,Colombia,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,1.2
,Ukraine,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,-0.8
,Samoa,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,0.8
,Thailand,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,0.6
,Dominican Republic,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,1.4
,Belize,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,2.0
,China,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,d,0.6
,Grenada,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,0.1
,Armenia,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,-0.1
,Turkey,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,1.2
,Suriname,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,0.5
,Jordan,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,2.2
,Peru,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,1.2
,Lebanon,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,1.0
,Ecuador,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,1.1
,Philippines,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,1.8
,Tunisia,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,1.0
,Fiji,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,0.5
,Saint Vincent and the Grenadines,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,0.4
,Iran (Islamic Republic of),MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,1.3
,Paraguay,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,1.7
,Georgia,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,-0.7
,Guyana,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,-0.3
,Azerbaijan,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,0.8
,Sri Lanka,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,0.4
,Maldives,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,1.8
,Jamaica,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,0.5
,Cape Verde,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,2.1
,El Salvador,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,1.3
,Algeria,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,1.5
,Viet Nam,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,1.3
,Occupied Palestinian Territories,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,3.0
,Indonesia,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,1.1
,Syrian Arab Republic,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,2.2
,Turkmenistan,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,1.3
,Nicaragua,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,1.4
,Moldova,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,-0.6
,Egypt,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,1.7
,Uzbekistan,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,1.4
,Mongolia,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,1.0
,Honduras,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,1.9
,Kyrgyzstan,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,1.1
,Bolivia,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,1.7
,Guatemala,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,2.4
,Gabon,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,1.5
,Vanuatu,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,2.3
,South Africa,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,0.5
,Tajikistan,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,1.6
,Sao Tome and Principe,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,1.6
,Botswana,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,1.2
,Namibia,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,1.2
,Morocco,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,1.2
,Equatorial Guinea,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,2.4
,India,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,1.4
,Solomon Islands,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,2.2
,Lao People's Democratic Republic,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,1.7
,Cambodia,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,1.8
,Myanmar,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,0.8
,Bhutan,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,1.5
,Comoros,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,2.3
,Ghana,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,1.9
,Pakistan,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,1.9
,Mauritania,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,2.4
,Lesotho,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,0.6
,Congo,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,2.1
,Bangladesh,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,1.6
,Swaziland,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,0.6
,Nepal,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,1.9
,Madagascar,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,2.6
,Cameroon,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,1.9
,Papua New Guinea,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,1.9
,Haiti,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,1.5
,Sudan,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,2.1
,Kenya,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,2.6
,Djibouti,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,1.7
,Timor-Leste,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,3.4
,Zimbabwe,MEDIUM HUMAN DEVELOPMENT,Annual population growth rate  (%) 2005-15b,,1.0
